invoice_id,account_id,subscription_id,invoice_date,total,total_nzd,currency,status
inv_7b0a40076cc7027a,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-01-05,1030.47,1030.47,NZD,PAID
inv_6762b0332ad6febc,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-02-01,1031.02,1031.02,NZD,PAID
inv_c0e73ca0e2154650,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-03-01,1029.02,1029.02,NZD,PAID
inv_d869662317260803,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-04-04,1037.02,1037.02,NZD,POSTED
inv_c1c4059b464b33eb,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-05-03,1036.11,1036.11,NZD,PAID
inv_195d55274ae14161,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-06-01,1030.55,1030.55,NZD,PAID
inv_0856f3ca1ab5ef6e,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-07-03,1030.98,1030.98,NZD,PAID
inv_7a34166f01fbc4fc,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-08-03,1034.81,1034.81,NZD,PAID
inv_aaacdd44a426ab43,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-09-02,1033.28,1033.28,NZD,PAID
inv_5257326df1d97ea5,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-10-02,1034.73,1034.73,NZD,PAID
inv_9fcea231186e1999,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-11-01,1028.73,1028.73,NZD,PAID
inv_d0f931d3055452d3,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2024-12-06,1029.58,1029.58,NZD,PAID
inv_306f9cd4da83010f,sub_98edab9547d40425,subsc_a19a4e69a26dfab1,2025-01-01,1036.23,1036.23,NZD,PAID
inv_b35bcd7a769857ba,sub_98edab9547d40425,subsc_65583e17f6419519,2025-01-06,1035.01,1035.01,NZD,PAID
inv_724fee3986949d4e,sub_98edab9547d40425,subsc_65583e17f6419519,2025-02-05,1034.68,1034.68,NZD,PAID
inv_388c2db0410c1c2c,sub_98edab9547d40425,subsc_65583e17f6419519,2025-03-01,1037.32,1037.32,NZD,PAID
inv_fa5989affcd07180,sub_98edab9547d40425,subsc_65583e17f6419519,2025-04-03,1037.21,1037.21,NZD,PAID
inv_f3dd2d728bdc5230,sub_98edab9547d40425,subsc_65583e17f6419519,2025-05-05,1028.13,1028.13,NZD,PAID
inv_1377910f24c0e7d8,sub_98edab9547d40425,subsc_65583e17f6419519,2025-06-04,1031.44,1031.44,NZD,PAID
inv_5a0b3ca7be2eeec3,sub_98edab9547d40425,subsc_65583e17f6419519,2025-07-01,1037.23,1037.23,NZD,PAID
inv_3d8f6d579d094640,sub_98edab9547d40425,subsc_65583e17f6419519,2025-08-04,1032.39,1032.39,NZD,PAID
inv_3d28e1e50fabaf8d,sub_98edab9547d40425,subsc_65583e17f6419519,2025-09-04,1027.94,1027.94,NZD,PAID
inv_6df47ebd54bba65b,sub_98edab9547d40425,subsc_65583e17f6419519,2025-10-03,1034.01,1034.01,NZD,PAID
inv_ab23131b6b850af9,sub_98edab9547d40425,subsc_65583e17f6419519,2025-11-04,1029.87,1029.87,NZD,PAID
inv_9a7d4c68f07c1484,sub_98edab9547d40425,subsc_65583e17f6419519,2025-12-03,1034.41,1034.41,NZD,PAID
inv_20b95b87c25bc19e,sub_98edab9547d40425,subsc_65583e17f6419519,2026-01-02,1031.85,1031.85,NZD,PAID
inv_443116b9a779da25,sub_98edab9547d40425,subsc_4d78827d089ec43a,2026-01-01,1182.85,1182.85,NZD,PAID
inv_9919b80f999c203b,sub_98edab9547d40425,subsc_4d78827d089ec43a,2026-02-04,1183.08,1183.08,NZD,PAID
